datetime,month,weekday,day,hour,Consumption,Temperature,Kosuiryo(mm),Nisha(MJ/m2),Sitsudo(%),Close(JPY/kWh),ShortVolume(kWh),LongVolume(kWh),EreaPriceTokyo(JPY/kWh)
2017-03-31 01:00:00,3,4,31,1,2634,11.8,0.0,0.0,48.0,8.91,5870500.0,3044500.0,7.76
2017-03-31 02:00:00,3,4,31,2,2598,11.2,0.0,0.0,52.0,9.56,5888250.0,3070500.0,7.609999999999999
2017-03-31 03:00:00,3,4,31,3,2589,10.4,0.0,0.0,51.0,9.41,5813500.0,3056750.0,7.59
2017-03-31 04:00:00,3,4,31,4,2614,10.4,0.0,0.0,43.0,7.57,5503500.0,3046000.0,7.67
2017-03-31 05:00:00,3,4,31,5,2724,10.0,0.0,0.0,42.0,9.11,4561500.0,3171500.0,8.08
2017-03-31 06:00:00,3,4,31,6,2917,9.7,0.0,0.05,44.0,8.21,3691750.0,3436000.0,10.5
2017-03-31 07:00:00,3,4,31,7,3152,10.4,0.0,0.42,40.0,10.87,3504500.0,4039250.0,11.825
2017-03-31 08:00:00,3,4,31,8,3562,10.6,0.0,0.82,39.0,11.445,4409500.0,4884750.0,12.55
2017-03-31 09:00:00,3,4,31,9,3802,10.9,0.0,0.54,40.0,16.32,4227750.0,5691750.0,12.11
2017-03-31 10:00:00,3,4,31,10,3807,11.2,0.0,0.65,42.0,13.49,2494000.0,5758500.0,15.0
2017-03-31 11:00:00,3,4,31,11,3790,10.9,0.0,0.51,44.0,10.83,2917250.0,5463000.0,12.11
2017-03-31 12:00:00,3,4,31,12,3620,11.3,0.0,0.62,37.0,11.969999999999999,4273750.0,4583750.0,10.325
2017-03-31 13:00:00,3,4,31,13,3745,11.6,0.0,0.73,38.0,12.86,3778250.0,5308250.0,11.399999999999999
2017-03-31 14:00:00,3,4,31,14,3774,10.7,0.0,0.49,49.0,10.93,3598750.0,5427250.0,11.165
2017-03-31 15:00:00,3,4,31,15,3806,9.7,0.0,0.24,56.0,16.0,3448500.0,5171750.0,13.350000000000001
2017-03-31 16:00:00,3,4,31,16,3914,7.6,0.0,0.08,79.0,13.625,4857250.0,5492250.0,13.4
2017-03-31 17:00:00,3,4,31,17,3988,6.2,1.5,0.03,82.0,13.870000000000001,4298750.0,5187500.0,13.365
2017-03-31 18:00:00,3,4,31,18,4027,5.8,1.0,0.01,91.0,14.49,3544000.0,5046750.0,13.33
